변인,FI mean,FI SD,FD mean,FD SD,Mann-Whitney U,p,rank-biserial r,Bootstrap 95% CI lower,Bootstrap 95% CI upper,Spearman r (GEFT),Spearman p
맥락비율(mean_ctx_ratio),0.4436774197611839,0.2141200660679817,0.38988798290669185,0.26291689090221243,116.0,0.6140447028727741,-0.11538461538461542,-0.11625922692109848,0.233338018324401,0.11745066204223895,0.543999777474165
전체 프롬프트 글자 수,684.8125,521.3175895427534,493.61538461538464,287.7011002358578,122.5,0.4298493658231275,-0.17788461538461542,-89.01923076923079,447.94182692307686,0.19826916692188618,0.3025280655907723
초기 프롬프트 길이,295.3125,176.90740280346287,211.0,113.29901441171792,125.0,0.3686609328681266,-0.20192307692307687,-15.059374999999989,181.30456730769228,0.1705652926473279,0.37635811334991726
평균 수정 프롬프트 길이,189.87239583333331,181.00862054156093,107.11666666666665,89.00449478870487,134.0,0.19572762837100377,-0.28846153846153855,-12.934860777243554,173.2844501201923,0.16784295514267847,0.3841358073644493
턴 수,3.9375,2.4074537032585557,4.384615384615385,3.1235252930639534,100.0,0.8738630308883697,0.038461538461538436,-2.5097355769230774,1.4137019230769228,0.025921358017327728,0.8938195383699367
첫-마지막 턴 거리,0.4074260793911296,0.16437286781037133,0.4081119355299046,0.16333193224840575,101.0,0.9127010310968687,0.028846153846153855,-0.11913385497700277,0.12198512816748246,0.014961867776081394,0.9385980068447588
의미 총 변화량,1.1843358743323007,1.276741401127984,1.3747974462861543,1.4699496271225587,96.0,0.7422337254366245,0.07692307692307687,-1.2148794321472347,0.7559534317567134,-0.021195979349448644,0.9130954284568478
참조 이미지 사용 횟수,0.375,0.7187952884282609,0.7692307692307693,1.1657505560686465,87.0,0.3762477403919715,0.16346153846153844,-1.0292067307692303,0.28377403846153837,-0.36409690616744905,0.05217186062689748
발산(first_last_distance),0.4074260793911296,0.16437286781037133,0.4081119355299046,0.16333193224840575,101.0,0.9127010310968687,0.028846153846153855,-0.11913385497700277,0.12198512816748246,0.014961867776081394,0.9385980068447588
수렴(divergence_slope),0.019743972197389006,0.05436137998229745,-0.0004030095900861606,0.06813857666616657,134.0,0.1834515717495402,-0.28846153846153855,-0.02372606749237772,0.06696556318651392,0.08102500177765558,0.6760728354103703
ideation_ratio,0.5589781746031746,0.18873136438799484,0.6717282717282717,0.20602099433549917,70.0,0.1300954011152805,0.32692307692307687,-0.25236901119713623,0.023950268481518495,-0.2577149247125499,0.1771059010553226
