분석,test,U/W,p,effect_size,CI_lo,CI_hi,n1,n2,mean1,mean2
2-1 UMAP centroid(ideation),Euclidean,2.582885980606079,,,,,37,41,,
2-1 UMAP centroid(final),Euclidean,0.9104965329170227,,,,,26,16,,
2-2 맥락비율 ideation FI vs FD,Mann-Whitney U,118.5,0.5391546095541453,-0.13942307692307687,-0.11023097241685054,0.2634385283927737,16,13,0.5215704429178232,0.4471509372319089
2-2 맥락비율 final FI vs FD,Mann-Whitney U,81.0,0.9584948585315869,0.018181818181818188,-0.16068106948568023,0.21311169746828926,15,11,0.3561447423544198,0.33059042406868494
2-2 맥락비율 ideation vs final (paired),Wilcoxon,46.0,0.0017205620157967293,0.13105413105413105,,,26,26,0.5217772664930632,0.3453333000027627
2-3 글자수 ideation FI vs FD,Mann-Whitney U,120.0,0.4966287700468135,-0.15384615384615374,-35.168470552884614,175.99216145833333,16,13,238.04947916666669,163.90320512820514
2-3 글자수 final FI vs FD,Mann-Whitney U,96.0,0.49972032221875484,-0.16363636363636358,-45.294772727272715,151.3143939393939,15,11,200.44444444444443,145.8181818181818
2-3 글자수 ideation vs final (paired),Wilcoxon,103.5,0.06744035203037291,0.2948717948717949,,,26,26,217.39871794871794,177.33333333333334
2-4 턴수 ideation FI vs FD,Mann-Whitney U,85.5,0.4074902347655164,0.17788461538461542,-2.682932692307692,0.8271634615384613,16,13,2.3125,3.1538461538461537
2-4 턴수 final FI vs FD,Mann-Whitney U,93.5,0.5454192309594561,-0.1333333333333333,-0.19393939393939386,0.812121212121212,15,11,1.7333333333333334,1.4545454545454546
2-4 전환시점 FI vs FD,Mann-Whitney U,85.5,0.4074902347655164,0.17788461538461542,-2.682932692307692,0.8271634615384613,16,13,2.3125,3.1538461538461537
2-5 첫-마지막 ideation FI vs FD,Mann-Whitney U,81.5,0.31699506959411317,0.21634615384615385,-0.2497776377058391,0.09625163763298042,16,13,0.20513382824195597,0.2859722696474177
2-5 첫-마지막 final FI vs FD,Mann-Whitney U,86.0,0.8654546933258497,-0.042424242424242475,-0.1673732423414667,0.19792432820220587,15,11,0.19267501051429414,0.1699934436906049
2-6 맥락비율변화 FI vs FD,Mann-Whitney U,58.0,0.21283368444558382,0.296969696969697,-0.4621705619556989,0.04777977106112229,15,11,-0.16097781692904772,0.04726553524140375
2-7 발산변화량 FI vs FD,Mann-Whitney U,106.0,0.22285761407228333,-0.2848484848484849,-0.1011743747141477,0.26932057582611785,15,11,0.004561407727266217,-0.07829548192822708
2-7 발산 ideation vs final (paired),Wilcoxon,64.0,0.5540338584644351,0.18233618233618235,,,26,26,0.2135723932158681,0.18307896301196408
2-7 수렴 ideation vs final (paired),Wilcoxon,19.0,0.3862707203664827,0.05413105413105413,,,26,26,-0.004941785325214656,0.0064800413898448445
