분석,test,U,p,rank-biserial r,CI_lo,CI_hi,Spearman r,Spearman p,FI mean,FD mean
3-1 주제(Subject),Mann-Whitney U,113.0,0.7093347737164315,-0.08653846153846145,-0.07581513524578233,0.12434393044053618,-0.010473307443256976,0.9569981631245199,0.36991636865793076,0.3395321143482326
3-1 형태/스타일(Form/Style),Mann-Whitney U,79.0,0.2814569519497597,0.24038461538461542,-0.13262294309832928,0.008946303224613632,-0.02424815114895965,0.9006387310333371,0.07076197794277439,0.12763063024582516
3-1 품질/기술(Quality/Technical),Mann-Whitney U,92.0,0.6140447028727741,0.11538461538461542,-0.08347055712674524,0.05497442697662516,-0.07854980582442732,0.6854601032109282,0.16220174883599364,0.17942993957904335
3-1 맥락/환경(Context/Environment),Mann-Whitney U,93.0,0.6451486331504293,0.10576923076923073,-0.07846487893129625,0.06801176263314436,-0.07718780775135065,0.690645238548181,0.17755180324431755,0.18661625875159601
3-1 기능/인터랙션(Function/Interaction),Mann-Whitney U,153.0,0.03343124376031458,-0.47115384615384626,-0.00265859303171386,0.12668987562928372,0.31020939189075425,0.10147678409322024,0.18065066622472725,0.11647867777536702
3-1 감성/분위기(Mood/Emotion),Mann-Whitney U,107.0,0.9102453912127312,-0.028846153846153744,-0.05469130575318404,0.027019440213255485,0.11871701209827384,0.5396353650208899,0.03891743509425642,0.05031237929993586
3-2 총 형태소 수,Mann-Whitney U,118.0,0.5538411043800002,-0.13461538461538458,-5.54251259157511,81.5069186455905,0.1356542678364713,0.4829032118766285,111.59449404761904,71.71801531801532
3-2 평균 문장 길이,Mann-Whitney U,106.0,0.9475470449740259,-0.019230769230769162,-17.861666102994224,6.098712097364441,-0.03865625267030485,0.8421942393828779,28.46679894179894,33.51902541902542
3-2 TTR,Mann-Whitney U,73.0,0.18105508532112158,0.29807692307692313,-0.15719521490938088,-0.0017764642663090832,-0.2805350208015261,0.14046510349390193,0.6871554401978965,0.769967463894779
3-2 내용어 밀도,Mann-Whitney U,68.0,0.11952320595669236,0.34615384615384615,-0.07930261016287721,0.0009478867814601002,-0.20722186869872733,0.2807665489315551,0.4440414276544331,0.47901004671282166
3-2 명사 비율,Mann-Whitney U,106.0,0.9475534957826844,-0.019230769230769162,-0.06656029710950634,0.037132322595521274,0.011470765294995737,0.9529070438023591,0.3375484658935229,0.34651712890631536
3-2 조사 다양성,Mann-Whitney U,89.0,0.5248120184821989,0.14423076923076927,-0.17386911980724612,0.10394172942368968,-0.06908246444951253,0.7217790482000488,0.651747622693956,0.6902172446290092
3-2 동사 비율,Mann-Whitney U,54.0,0.029952450483020417,0.4807692307692307,-0.04557925660932455,-0.0034620809537159367,-0.3311560067772682,0.07929652028340334,0.075592327693073,0.10053274699257951
3-2 형용사 비율,Mann-Whitney U,101.5,0.9301019215079721,0.024038461538461564,-0.012615665131338251,0.005689728831034676,0.16135868050120797,0.40303073335853185,0.013476271732371967,0.01630324074665981
3-2 외래어 비율,Mann-Whitney U,104.0,1.0,0.0,0.0,0.0,,,0.0,0.0
3-2 문장 수,Mann-Whitney U,136.5,0.15985931001281972,-0.3125,0.20848375582750583,3.5244862949550453,0.28735423334463345,0.13066974383348107,4.0010416666666675,2.245887445887446
