participant_id,geft_score,participant_group,osivq_object_pct,osivq_spatial_pct,osivq_verbal_pct,osivq_cognitive_style,major,workshop_group,total_char_count,initial_length,mean_refinement_length,turn_count,total_change,first_last_distance,ref_img_count,ideation_ratio,mean_ctx_ratio,divergence_slope,mean_morpheme_count,mean_ttr,mean_content_density,mean_noun_ratio,mean_avg_sentence_length,mean_particle_diversity
P1,14,FD,100.0,4.78,96.18,object,design,G1,450,297,38.25,5,1.6591267417563986,0.4721832031514509,1,0.6,0.18796992481203004,-0.01724063379238385,50.0,0.8227436529655622,0.45206148788396056,0.2628484208054479,21.371428571428574,0.8375
P10,10,FD,21.0,83.39,88.36,verbal,business,G3,197,120,77.0,2,0.3773741874207377,0.3773741874207377,0,1.0,0.08333333333333333,0.0,53.5,0.7358208955223882,0.45634328358208953,0.2992537313432836,26.75,0.7166666666666667
P11,16,FI,99.95,56.02,99.99,verbal,design,G4,323,141,60.666666666666664,4,1.5511630970040349,0.5965676266578879,0,0.25,0.21785714285714286,0.09011980009025705,43.5,0.8440584415584416,0.46438311688311684,0.31625541125541123,43.5,0.7000000000000001
P12,18,FI,99.93,40.42,100.0,verbal,design,G4,1101,263,419.0,3,0.2651042635225115,0.1630610449428579,0,0.3333333333333333,0.3450268817204301,-0.09474278663914382,179.66666666666666,0.5550557736156113,0.4307037339491701,0.34058126908025493,35.87777777777777,0.45216049382716045
P13,17,FI,98.64,29.27,98.76,verbal,business,G4,756,444,78.0,5,1.769241607129544,0.5757889833451659,0,0.4,0.3519668737060041,0.010703485837172367,78.0,0.7422451120326976,0.473706051376573,0.3659407861956835,21.93333333333333,0.7607843137254902
P14,9,FD,60.8,67.53,96.18,verbal,design,G5,600,328,272.0,2,0.15818963611520276,0.15818963611520276,1,0.5,0.07142857142857142,0.0,131.0,0.6832596522251695,0.6582964927792514,0.5819039198349543,94.75,0.38095238095238093
P15,16,FI,56.41,74.75,97.72,verbal,design,G5,296,166,65.0,3,1.030313709627744,0.34183299053274885,0,0.6666666666666666,0.6317460317460318,0.08624987994228306,52.666666666666664,0.8216374269005847,0.4146198830409356,0.33014944769330734,24.416666666666668,0.8541666666666666
P16,17,FI,91.23,99.9,99.33,spatial,business,G5,2297,686,537.0,4,0.3898340574598367,0.3192802365450438,0,0.5,0.44477225672877846,0.1268251424350701,286.75,0.5000768480419446,0.42960790463606857,0.3584048794186444,23.859523809523807,0.3569792112394808
P17,17,FI,89.29,80.61,99.33,verbal,business,G5,285,105,90.0,3,0.6340704720977759,0.4067144996683021,1,0.6666666666666666,0.3595238095238095,0.06125033894725984,48.666666666666664,0.7891975308641976,0.4904320987654321,0.41172839506172837,32.666666666666664,0.7321428571428571
P18,14,FD,99.59,99.73,95.04,spatial,design,G6,330,215,57.5,3,1.1064884768116414,0.2805774961670967,0,0.6666666666666666,0.5934065934065934,0.026565891489669702,53.666666666666664,0.8169934640522877,0.42973856209150324,0.29411764705882354,53.666666666666664,0.6851851851851851
P19,15,FD,100.0,85.56,97.72,object,design,G6,347,276,35.5,3,0.9820012045321752,0.6090871361885403,0,1.0,0.452991452991453,-0.11986638426117302,64.66666666666667,0.7538824538824539,0.4065208065208065,0.2806435006435007,21.80952380952381,0.8
P2,15,FD,98.64,71.25,96.18,object,business,G1,323,19,30.0,10,4.544131700764851,0.4943000793586044,0,0.8,0.575,0.007577781403210667,14.0,0.9490079365079365,0.4908577533577534,0.37235958485958487,14.0,0.9166666666666666
P20,18,FI,97.04,36.37,99.93,verbal,business,G6,562,139,70.5,7,2.464489650068856,0.6243551147661548,0,0.5714285714285714,0.673611111111111,0.06897492217366301,44.42857142857143,0.7329769063761574,0.46430134996539824,0.2735220217979626,21.0,0.7691197691197692
P21,12,FD,98.2,60.16,99.89,verbal,business,G6,367,320,47.0,2,0.1680011265475384,0.1680011265475384,0,0.5,0.5681818181818181,0.0,100.5,0.7266949152542372,0.5035310734463276,0.3760593220338983,26.75,0.5294117647058824
P22,12,FD,87.06,60.16,97.09,verbal,design,G7,580,278,302.0,2,0.25935833623159654,0.25935833623159654,2,0.5,0.7049689440993789,0.0,147.5,0.6259431358115568,0.5033814869341185,0.40570942215679057,33.3,0.3649732620320856
P23,18,FI,99.78,48.19,97.09,object,design,G7,889,452,145.66666666666666,4,0.8954341386627269,0.32265194828279675,0,0.5,0.6566666666666666,-0.003621390125796209,124.5,0.6223091241716993,0.4385791921806048,0.3113351263531381,29.866666666666664,0.6451355661881978
P24,10,FD,97.04,91.37,93.87,object,business,G7,272,153,119.0,2,0.3900470966701476,0.3900470966701476,0,0.5,0.75,0.0,64.5,0.7361583292860612,0.4565322972316659,0.3813744536182613,26.333333333333336,0.5625
P25,16,FI,24.4,87.83,97.09,verbal,business,G7,972,490,482.0,2,0.16471937568200146,0.16471937568200146,0,0.5,0.8856209150326797,0.0,243.5,0.4723149834716319,0.4188592052890778,0.33263340754233284,44.65,0.35185185185185186
P26,17,FI,99.99,19.81,90.29,object,design,G8,316,149,167.0,2,0.25911147088691766,0.25911147088691766,0,0.5,0.606060606060606,0.0,87.5,0.6856060606060606,0.4400470219435737,0.33176593521421105,29.166666666666664,0.6515151515151515
P27,17,FI,96.2,22.44,82.83,object,design,G8,970,530,440.0,2,0.22923706610602246,0.22923706610602246,0,0.5,0.4991511035653651,0.0,247.0,0.4805935509357563,0.43999473277039813,0.3765822263921123,26.9375,0.34176470588235297
P28,15,FD,99.95,97.56,99.66,object,business,G8,604,366,119.0,3,0.9743855451221849,0.6475843415702067,0,0.3333333333333333,0.25146198830409355,-0.028710268011720275,105.33333333333333,0.7247639796659405,0.4341217968668949,0.24683577134557524,31.638888888888886,0.625
P29,17,FI,99.89,98.85,96.18,object,design,G1,624,312,39.0,9,4.3636653072420915,0.6473138296423179,1,0.6666666666666666,0.2105654761904762,-0.035672128540848856,35.22222222222222,0.8438012758200477,0.46758286999327126,0.37005892806316454,16.91111111111111,0.8138528138528139
